barrio,distrito,nombre,estado_licencia,capacidad
casco h.vallecas,villa de vallecas,CONGOSTO 47,Abierta,135.59
ventas,ciudad lineal,LA HACIENDA DE VENTAS,Abierta,82.29
lista,salamanca,LA DESCARADA,Abierta,84.67
canillas,hortaleza,EL RINCON DE MALENA,Abierta,17.5
hispanoamerica,chamartin,JUAN SIN PRISA,Abierta,13.56
casco h.vallecas,villa de vallecas,EL CAMPANARIO,Abierta,68.22
arguelles,moncloa-aravaca,SOL AZTECA,Abierta,8.68
valdezarza,moncloa-aravaca,LA MINA,Abierta,7.28
rios rosas,chamberi,QUERCUS,Abierta,32.0
pinar del rey,hortaleza,BAR DUERO,Abierta,13.13
rios rosas,chamberi,LA BERENJENA DE CHAMBERI,Abierta,62.15
el goloso,fuencarral-el pardo,FASS CENTRO ALEMÁN DE ALIMENTACIÓN,Abierta,38.37
almenara,tetuan,CAFETERIA ARANDIO RESTAURANTE,Abierta,16.38
aluche,latina,MONTADITOS Y TAPAS,Abierta,45.65
almagro,chamberi,LA ESPUMOSA,Abierta,52.57
estrella,retiro,RESTAURANTE 76 DE BARANDA,Abierta,13.0
entrevias,puente de vallecas,BAR PASTRANA,Abierta,66.78
el viso,chamartin,TABERNA DEL VOLAPIE,Abierta,83.51
sol,centro,STARBUCKS COFFEE,Abierta,11.16
ventas,ciudad lineal,BAR RESTAURANTE DON GIL,Abierta,23.22
entrevias,puente de vallecas,BAR SHAURMA HOUSE KEBAB,Abierta,28.65
ciudad jardin,chamartin,CAVATINA,Abierta,12.6
recoletos,salamanca,FORTE PIZZA BAR,Abierta,61.29
ventas,ciudad lineal,BAR-CAFETERIA,Abierta,29.5
almendrales,usera,GASTROBAR  LA FABRICA 246,Abierta,30.6
los rosales,villaverde,CAFETERIA VENECIA,Abierta,34.88
pacifico,retiro,CENTRO DENTAL,Abierta,59.69
cortes,centro,VIPS,Abierta,12.88
pacifico,retiro,YOANNA,Abierta,32.4
castellana,salamanca,JOSE LUIS,Abierta,52.29
goya,salamanca,DE LA CRUZ,Abierta,34.7
nueva españa,chamartin,BAR RESTAURANTE,Abierta,96.05
recoletos,salamanca,TABERNA ENTRE AMIGOS,Abierta,68.44
goya,salamanca,CAFETERIA MONTESA,Abierta,16.75
ciudad jardin,chamartin,EDELWAIS,Abierta,14.04
ventas,ciudad lineal,CAFE BAR LA FUENTE,Abierta,36.9
san diego,puente de vallecas,TABERNA PLAZA VIEJA,Abierta,14.04
marroquina,moratalaz,PARKING BAR,Abierta,25.92
horcajo,moratalaz,ARTE&SANO,Abierta,30.96
cuatro caminos,tetuan,MARISQUERIA LA BAHIA,Abierta,12.96
corralejos,barajas,BAHIA TABERNA,Abierta,20.44
gaztambide,chamberi,LA OLA,Abierta,12.0
buenavista,carabanchel,LA GALERIA,Abierta,55.54
casco h.vicalvaro,vicalvaro,BAR CAROLINA,Abierta,22.95
media legua,moratalaz,PAPA JOHNS,Abierta,16.43
pueblo nuevo,ciudad lineal,COKTAILS COFFES BEERS CORNER,Abierta,6.53
casco h.vicalvaro,vicalvaro,LO HAN DUPLICADO,Abierta,12.06
arguelles,moncloa-aravaca,TABERNA DEL PRINCIPE,Abierta,17.25
costillares,ciudad lineal,BAR TELEPESCADITO,Abierta,12.92
recoletos,salamanca,TABERNA TAURINA EL TABLON,Suspension temporal,50.31
arapiles,chamberi,BAR DESTELLOS,Abierta,11.9
comillas,carabanchel,TABERNA LUAL,Abierta,39.69
numancia,puente de vallecas,BAR LOS HERMANOS,Abierta,9.81
lista,salamanca,VE-GA BAR,Abierta,55.0
ibiza,retiro,LA RETASCA,Abierta,22.38
el pardo,fuencarral-el pardo,TABERNA LA PLAZA,Abierta,78.39
goya,salamanca,RC 88,Abierta,52.11
media legua,moratalaz,BAR LOS ALAMOS,Abierta,25.92
palacio,centro,LA BOTILLERIA DEL CAFE DE ORIENTE,Abierta,45.0
guindalera,salamanca,MILOS RESTAURANTE GRIEGO,Abierta,19.4
canillas,hortaleza,BAR CHASQUIS,Abierta,66.75
goya,salamanca,RODILLA,Abierta,14.58
valdefuentes,hortaleza,SAFFRON INDIAN CUISINE,Abierta,70.47
san pascual,ciudad lineal,NUEVA ESPERANZA BAR,Abierta,57.35
rios rosas,chamberi,LA POCHA,Abierta,19.29
aluche,latina,JUMI ROSA,Abierta,30.45
