barrio,precio,numero_habitaciones,reseñas,servicios
justicia,133.0,1.0,44,"Wifi,Kitchen,Stove,Hot water,Microwave,Dining table,Heating,Shower gel,Hot water kettle,TV,Washer,Patio or balcony,Shampoo,Hair dryer,Bed linens,Air conditioning,Coffee maker,Oven,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
recoletos,154.0,1.0,7,"Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Washer  In unit,Heating,Lockbox,TV,Elevator,High chair,Shampoo,Long term stays allowed,Hair dryer,Dryer  In unit,Bed linens,Pets allowed,Dishwasher,Private entrance,Oven,Self check-in,Cooking basics,Refrigerator,Air conditioning,Crib"
embajadores,84.0,1.0,47,"Wifi,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Dining table,Toaster,Shower gel,Hot water kettle,TV,Washer,Fire extinguisher,Paid parking garage off premises,Shampoo,Stainless steel oven,Wine glasses,Hair dryer,Bed linens,Coffee,Freezer,Heating - split type ductless system,Laundromat nearby,Drying rack for clothing,Dishes and silverware,Cleaning products,Coffee maker: Nespresso,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning,Crib"
castilla,54.0,1.0,395,"First aid kit,Breakfast,Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Paid parking off premises,Microwave,Hangers,Heating,TV,Washer,Elevator,Shampoo,Long term stays allowed,Body soap,Bathtub,Hair dryer,Bed linens,Shared pool,Host greets you,Coffee maker,Dryer,Dishes and silverware,Dishwasher,Oven,Dedicated workspace,Refrigerator,Air conditioning"
valdefuentes,111.0,2.0,65,"Exercise equipment,Bidet,City skyline view,Books and reading material,Wifi,Central air conditioning,Shared backyard  Fully fenced,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Dove body soap,Pantene shampoo,Microwave,Hangers,Extra pillows and blankets,Dining table,Free washer  In unit,Siemens electric stove,Rice maker,Shower gel,Hot water kettle,Outdoor shower,Elevator,Paid parking lot off premises,Lockbox,Coffee maker: espresso machine,Stainless steel oven,Wine glasses,Radiant heating,Shared outdoor pool - available seasonally, open specific hours,Shared gym in building,Bathtub,Hair dryer,Bed linens,Coffee,Pets allowed,Long term stays allowed,Freezer,Free street parking,Free parking garage on premises  1 space,Drying rack for clothing,Dishwasher,Cleaning products,Pantene conditioner,Private hot tub,Self check-in,Cleaning available during stay,Dedicated workspace,Cooking basics,TV with Chromecast,Room-darkening shades,Refrigerator,Dishes and silverware,Crib"
embajadores,137.0,3.0,383,"Paid clamp on table seat high chair - available upon request,City skyline view,First aid kit,Wifi,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Hot water,Iron,Microwave,Electric stove,Hangers,Extra pillows and blankets,Portable fans,Dining table,Free washer  In unit,Heating,Toaster,Hot water kettle,Lockbox,TV,Carbon monoxide alarm,Fire extinguisher,Patio or balcony,Paid pack n play/travel crib - available upon request,Shampoo,Smoke alarm,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee maker,Laundromat nearby,Drying rack for clothing,Dishwasher,Cleaning products,Oven,Self check-in,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Single level home"
valdefuentes,30.0,1.0,3,"Wifi,Window AC unit,Clothing storage: closet,Kitchen,Essentials,Hot water,Microwave,Electric stove,Hangers,Extra pillows and blankets,Toaster,Outdoor shower,Central heating,Fire extinguisher,Lock on bedroom door,Free parking on premises,Smoke alarm,Long term stays allowed,Hair dryer,Bed linens,Coffee maker: espresso machine, Nespresso,Host greets you,Freezer,Paid washer  In unit,Cleaning available during stay,Dedicated workspace,Room-darkening shades,Refrigerator,Dishes and silverware"
embajadores,181.0,1.0,127,"Ethernet connection,City skyline view,Mosquito net,Books and reading material,Baby bath - available upon request,First aid kit,Wifi,Breakfast,Carrefour conditioner,Carrefour body soap,AC - split type ductless system,Essentials,Clothing storage: closet, wardrobe, and dresser,Kitchen,Smart lock,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Carrefour shampoo,Extra pillows and blankets,Portable fans,Crib - available upon request,Free washer  In unit,Pack n play/Travel crib,Toaster,Dining table,Paid parking lot on premises  1 space,Baking sheet,Shower gel,Hot water kettle,Carbon monoxide alarm,Safe,Fire extinguisher,Elevator,Coffee maker: Keurig coffee machine,Ceiling fan,43 inch HDTV,Standalone high chair - always at the listing,Smoke alarm,Stainless steel oven,Wine glasses,Long term stays allowed,Hair dryer,Bed linens,Coffee,Freezer,Heating - split type ductless system,Laundromat nearby,Blender,Free residential garage on premises  1 space,Drying rack for clothing,Dishwasher,Private entrance,Cleaning products,Self check-in,Arcade games,Free dryer  In unit,Babysitter recommendations,Dedicated workspace,Cleaning available during stay,Cooking basics,IKEA refrigerator,Room-darkening shades,Dishes and silverware,Single level home"
embajadores,148.0,3.0,172,"Wifi,AC - split type ductless system,Kitchen,Essentials,Stove,Smart lock,Hot water,Iron,Paid parking off premises,Microwave,Hangers,Free washer  In unit,Heating,42 inch HDTV with Fire TV,Elevator,Fire extinguisher,Coffee maker: drip coffee maker, pour-over coffee,Shampoo,Long term stays allowed,Hair dryer,Bed linens,Freezer,Dishwasher,Cleaning products,Oven,Self check-in,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
palacio,81.0,2.0,14,"Wifi,TV with standard cable,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Keypad,Hangers,Heating,Toaster,Shower gel,Hot water kettle,Carbon monoxide alarm,Washer,Fire extinguisher,Elevator,Shampoo,Smoke alarm,Long term stays allowed,Body soap,Hair dryer,Bed linens,Dishes and silverware,Coffee maker: Nespresso,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
delicias,43.0,1.0,40,"Books and reading material,Wifi,Clothing storage: closet,43 inch TV,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Coffee maker: pour-over coffee,Shower gel,Hot water kettle,Private patio or balcony,Elevator,Ceiling fan,Wine glasses,Blanca body soap,Radiant heating,Long term stays allowed,Hair dryer,Bed linens,Coffee,Blanca shampoo,Teka refrigerator,Freezer,Blender,Drying rack for clothing,Paid washer  In unit,Cleaning products,Dedicated workspace,Cooking basics,Room-darkening shades,Dishes and silverware"
vista alegre,32.0,0.0,78,"Bidet,Wifi,Essentials,Shared patio or balcony,Hot water,Iron,Hangers,Extra pillows and blankets,Portable fans,Clothing storage: wardrobe,Shower gel,Body soap,Hair dryer,Bed linens,Host greets you,Laundromat nearby,Free street parking,Drying rack for clothing,Dedicated workspace,Room-darkening shades,Dishes and silverware"
berruguete,91.0,1.0,145,"Ethernet connection,City skyline view,Breakfast,AC - split type ductless system,Kitchen,Essentials,Smart lock,Hot water,Iron,Luggage dropoff allowed,Teka electric stove,Microwave,Hangers,Extra pillows and blankets,Dining table,Free washer  In unit,Toaster,Shower gel,Hot water kettle,Elevator,Pack n play/Travel crib - available upon request,Fire extinguisher,Paid parking garage off premises,40 inch TV with Amazon Prime Video, Disney+, Netflix, standard cable,Shampoo,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Edesa refrigerator,Freezer,Heating - split type ductless system,Fast wifi  276 Mbps,Laundromat nearby,Free parking garage on premises  1 space,Drying rack for clothing,Clothing storage: closet and dresser,Cleaning products,Coffee maker: Nespresso,Zanussi stainless steel oven,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Dishes and silverware,Crib,Single level home"
pilar,109.0,1.0,40,"Books and reading material,First aid kit,Wifi,Kitchen,Essentials,Mini fridge,Smart lock,Hot water,Iron,Paid parking off premises,Microwave,Hangers,Extra pillows and blankets,Clothing storage,Dining table,Heating,Toaster,Shower gel,Hot water kettle,TV,Washer,Shampoo,Housekeeping - available at extra cost,Long term stays allowed,Body soap,Hair dryer,Bed linens,Pets allowed,Freezer,Coffee maker,Laundromat nearby,Free street parking,Drying rack for clothing,Dishes and silverware,Conditioner,Private entrance,Cleaning products,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning,Single level home"
pilar,40.0,1.0,32,"Ethernet connection,First aid kit,Wifi,Clothing storage: closet,Essentials,Hot water,Luggage dropoff allowed,Paid street parking off premises,Microwave,Hangers,Extra pillows and blankets,Shared gym nearby,Shower gel,Central heating,Cosmic conditioner,Radiant heating,Hair dryer,Bed linens,Laundromat nearby,Cosmic shampoo,Cleaning products,Cleaning available during stay,Room-darkening shades,Dishes and silverware,Instituto Espanol  body soap"
palacio,305.0,4.0,33,"32 inch HDTV,Ethernet connection,City skyline view,Books and reading material,First aid kit,Fast wifi  296 Mbps,Kitchen,Essentials,Exercise equipment: yoga mat,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Dining table,Heating,Toaster,Shower gel,Hot water kettle,Elevator,Fire extinguisher,Shampoo,Smoke alarm,Wine glasses,Long term stays allowed,Body soap,Clothing storage: wardrobe and dresser,Hair dryer,Bed linens,Coffee,Freezer,Laundromat nearby,Blender,Movie theater,Drying rack for clothing,Dishes and silverware,Dishwasher,Cleaning products,Coffee maker: Nespresso,Arcade games,Cleaning available during stay,Dedicated workspace,Shared backyard,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
cortes,45.0,1.0,115,"Wifi,Kitchen,Essentials,Blodgett stainless steel induction stove,Hot water,Microwave,Hangers,Clothing storage,Portable fans,Dining table,Free washer  In unit,Heating,Toaster,Shower gel,Hot water kettle,Private patio or balcony,Elevator,Lock on bedroom door,Shampoo,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Freezer,Coffee maker,Laundromat nearby,Drying rack for clothing,Conditioner,Dishwasher,Cleaning products,Oven,Cleaning available during stay,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
universidad,38.0,1.0,3,"First aid kit,Wifi,Kitchenette,Essentials,Smart lock,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Dining table,Heating,Toaster,Shower gel,Elevator,Fire extinguisher,Shampoo,Exterior security cameras on property,Long term stays allowed,Body soap,Bed linens,Air conditioning,Coffee maker,Cleaning products,Self check-in,Dedicated workspace,Refrigerator,Dishes and silverware"
universidad,146.0,0.0,81,"City skyline view,Wifi,Kitchen,Essentials,Stove,Smart lock,Hot water,Iron,Paid parking off premises,Microwave,Hangers,Dining table,Heating,Toaster,Theme room,Hot water kettle,TV,Washer,Fire extinguisher,Elevator,Hair dryer,Bed linens,Freezer,Laundromat nearby,Drying rack for clothing,Dishes and silverware,Dishwasher,Private entrance,Coffee maker: Nespresso,Self check-in,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
cármenes,81.0,0.0,90,"Board games,Ethernet connection,Books and reading material,First aid kit,Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Portable fans,Dining table,Toaster,Clothing storage: wardrobe,Portable heater,Shower gel,Hot water kettle,Lockbox,TV,Washer,Outdoor playground,Shampoo,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Pets allowed,Coffee maker: espresso machine, pour-over coffee,Laundromat nearby,Free street parking,Drying rack for clothing,Conditioner,Dishwasher,Private entrance,Cleaning products,Oven,Self check-in,Cleaning available during stay,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Single level home"
trafalgar,92.0,2.0,107,"Clothing storage: closet and wardrobe,Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Paid crib - available upon request,Hangers,Dining table,Heating,Toaster,Shower gel,Hot water kettle,Paid folding or convertible high chair - available upon request,TV,Washer,Carbon monoxide alarm,Fire extinguisher,Stainless steel induction stove,Elevator,Shampoo,Smoke alarm,Stainless steel oven,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Pets allowed,Host greets you,Freezer,Coffee maker,Dryer,Drying rack for clothing,Dishes and silverware,Dishwasher,Cleaning products,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning,Single level home"
puerta del angel,31.0,1.0,183,"Wifi,Kitchen,Essentials,Hot water,Iron,Hangers,Portable fans,Free washer  In unit,Paid parking lot off premises,Carbon monoxide alarm,Fire extinguisher,Lock on bedroom door,Paid parking lot on premises,Smoke alarm,Radiant heating,Hair dryer,Bed linens,Dedicated workspace,Room-darkening shades,Refrigerator"
palacio,200.0,1.0,9,"Wifi,AC - split type ductless system,Essentials,Smart lock,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Dining table,Free washer  In unit,Toaster,Hot water kettle,Central heating,Wine glasses,Long term stays allowed,Hair dryer,Bed linens,Freezer,50 inch HDTV,Blender,Clothing storage: closet and dresser,Dishwasher,Cleaning products,Oven,Self check-in,Free dryer  In unit,Cooking basics,Coffee maker: drip coffee maker,Room-darkening shades,Refrigerator,Dishes and silverware,Single level home"
pilar,54.0,2.0,17,"City skyline view,Wifi,Clothing storage: closet,Kitchen,Essentials,Stove,Hot water,Dove body soap,Luggage dropoff allowed,Paid street parking off premises,Microwave,Hangers,Extra pillows and blankets,Heating,Toaster,Shower gel,Elevator,Free parking on premises,Ceiling fan,Paid parking on premises,Long term stays allowed,Bed linens,Freezer,Coffee maker,Blender,Laundromat nearby,Dishwasher,Cleaning products,Dedicated workspace,Cooking basics,Room-darkening shades,Dishes and silverware"
palacio,152.0,2.0,152,"Champu pequeno para tus dos primeros dias. shampoo,Wifi,Central air conditioning,Kitchen,Essentials,Hot water,Iron,45 inch HDTV with Amazon Prime Video, Netflix,Paid street parking off premises,Microwave,Hangers,Dining table,Free washer  In unit,Toaster,Shower gel,Hot water kettle,Outdoor shower,Elevator,Central heating,Fire extinguisher,FAGOR electric stove,Long term stays allowed,Hair dryer,Bed linens,HARWEST FRESH refrigerator,Freezer,Host greets you,Drying rack for clothing,Clothing storage: closet and dresser,Dishwasher,Coffee maker: Nespresso,Dedicated workspace,Cooking basics,Room-darkening shades,Dishes and silverware"
san diego,80.0,2.0,17,"Wifi,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Dining table,Heating,Toaster,Baking sheet,Shower gel,Washer,HDTV,Smoke alarm,Exterior security cameras on property,Long term stays allowed,Hair dryer,Bed linens,Pets allowed,Freezer,Coffee maker,Free street parking,Drying rack for clothing,Dishes and silverware,Dishwasher,Cleaning products,Oven,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
cuatro caminos,170.0,3.0,0,"City skyline view,Wifi,TV with standard cable,Kitchen,Iron,Microwave,Hangers,Clothing storage,Dining table,Heating,Toaster,Shower gel,Hot water kettle,Elevator,Washer,Smoke alarm,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Coffee maker,Dishes and silverware,Conditioner,Dishwasher,Oven,Dedicated workspace,Cooking basics,Wine glasses,Refrigerator,Air conditioning"
embajadores,76.0,1.0,182,"Bidet,Ethernet connection,City skyline view,First aid kit,Wifi,AC - split type ductless system,Kitchen,Essentials,Hot water,Iron,Paid parking off premises,Microwave,Hangers,32 inch TV with Fire TV,Extra pillows and blankets,Clothing storage,Dining table,Heating,Toaster,Private patio or balcony,Hot water kettle,Lockbox,Carbon monoxide alarm,Elevator,Fire extinguisher,Shampoo,Smoke alarm,Wine glasses,Long term stays allowed,Hair dryer,Bed linens,Coffee,Freezer,Laundromat nearby,Drying rack for clothing,Conditioner,Private entrance,Cleaning products,Coffee maker: Nespresso,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Single level home"
universidad,100.0,2.0,73,"Bidet,Books and reading material,Wifi,Kitchen,Essentials,Stove,Hot water,Iron,LG refrigerator,Microwave,Hangers,Extra pillows and blankets,Clothing storage,Heating,Toaster,Shower gel,Hot water kettle,Washer,Shampoo,Wine glasses,Hair dryer,Bed linens,Gel body soap,Host greets you,Freezer,Coffee maker,Laundromat nearby,Dryer,Drying rack for clothing,Window guards,Cleaning products,Dedicated workspace,Cooking basics,Room-darkening shades,Dishes and silverware"
palomas,161.0,2.0,0,"Private outdoor pool - available seasonally, open specific hours,Bidet,Mosquito net,Books and reading material,First aid kit,Wifi,Garden view,Pantene  conditioner,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Mini fridge,Shared patio or balcony,Hot water,Iron,Luggage dropoff allowed,Pantene shampoo,Microwave,Hangers,Resort access,Extra pillows and blankets,Exercise equipment: free weights,Portable fans,Private backyard  Fully fenced,Dining table,Free washer  In unit,Toaster,Baking sheet,Shower gel,Hot water kettle,Outdoor shower,TV,Courtyard view,Central heating,Carbon monoxide alarm,Indoor fireplace: wood-burning,Fire extinguisher,Sun loungers,Outdoor playground,Eucerin  body soap,Free parking on premises,Outdoor furniture,Hammock,Smoke alarm,Wine glasses,Long term stays allowed,Bathtub,Hair dryer,Bed linens,Coffee,Bosch oven,Host greets you,Freezer,Outdoor dining area,Coffee maker,Blender,Free street parking,Drying rack for clothing,Dishwasher,Private entrance,Cleaning products,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Crib,Single level home"
palacio,313.0,3.0,326,"Sound system,Ethernet connection,City skyline view,Books and reading material,Wifi,Central air conditioning,TV with standard cable,Clothing storage: closet,Kitchen,Essentials,Iron,Microwave,Hangers,Extra pillows and blankets,Dining table,Free washer  In unit,Game console,Pack n play/Travel crib,Heating,Toaster,Shower gel,Hot water kettle,Private patio or balcony,Carbon monoxide alarm,Paid parking lot off premises,Fire extinguisher,Indoor fireplace: gas,High chair,Shampoo,Smoke alarm,Wine glasses,Exterior security cameras on property,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Freezer,Coffee maker,Laundromat nearby,Dishwasher,Cleaning products,Oven,Arcade games,Free dryer  In unit,Dedicated workspace,Cooking basics,Room-darkening shades,Pocket wifi,Refrigerator,Dishes and silverware,Crib,Single level home"
buenavista,48.0,1.0,55,"Private outdoor pool - available seasonally, open specific hours,Bidet,Ethernet connection,First aid kit,Breakfast,Wifi,Central air conditioning,Garden view,Clothing storage: closet,Bikes,Essentials,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Portable fans,Pool view,Dining table,Heating,Lockbox,Elevator,Fire extinguisher,Shampoo,Free parking on premises,Private living room,Body soap,Bathtub,Hair dryer,Bed linens,Pets allowed,Host greets you,Laundromat nearby,Self check-in,Dedicated workspace,Pocket wifi,Refrigerator"
pacífico,90.0,1.0,7,"Wifi,Kitchen,Essentials,Hot water,Microwave,Hot water kettle,TV,Washer,Elevator,Body soap,Hair dryer,Bed linens,Pets allowed,Air conditioning,Host greets you,Dishwasher,Cleaning products,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
canillas,39.0,1.0,19,"Board games,Exercise equipment,City skyline view,Books and reading material,First aid kit,Sound system with Bluetooth and aux,Childrens books and toys,TV with standard cable,Wifi,Bikes,Kitchen,Essentials,Mini fridge,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Dining table,Game console,Pack n play/Travel crib,Heating,Toaster,Baking sheet,Shower gel,Hot water kettle,Washer,Backyard,Patio or balcony,Lock on bedroom door,Shampoo,Record player,BBQ grill,Free parking on premises,Hammock,Private living room,Wine glasses,Long term stays allowed,Body soap,Bathtub,Hair dryer,Bed linens,Clothing storage: wardrobe and dresser,Coffee,Host greets you,Freezer,Outdoor dining area,Coffee maker,Blender,Laundromat nearby,Free street parking,Dishes and silverware,Conditioner,Dishwasher,Barbecue utensils,Private entrance,Cleaning products,Oven,Smoking allowed,Childrens dinnerware,Babysitter recommendations,Dedicated workspace,Outdoor kitchen with sink, oven,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning,Outdoor furniture"
embajadores,165.0,1.0,72,"Keypad,Hangers,Heating,Wifi,Hair dryer,Bed linens,Self check-in,Shower gel,TV,Essentials,Mini fridge,Hot water,Air conditioning,Crib,Shampoo"
